model,0,intro_bug,0.000928505,
model,1,intro_bug,0.001392758,
model,2,intro_bug,0.000464253,
model,3,intro_bug,0.00371402,
model,4,intro_bug,0,
model,5,intro_bug,0,
model,6,intro_bug,0.001392758,
model,7,intro_bug,0,
model,8,intro_bug,0,
model,9,intro_bug,0,
model,10,intro_bug,0,
model,11,intro_bug,0.003249768,
model,12,intro_bug,0,
model,13,intro_bug,0.002321263,
model,14,intro_bug,0,
model,15,intro_bug,0.000464253,
model,16,intro_bug,0.004642526,
model,17,intro_bug,0,
model,18,intro_bug,0,
model,19,intro_bug,0,
model,20,intro_bug,0.002321263,
model,21,intro_bug,0.000464253,
model,22,intro_bug,0,
model,23,intro_bug,0,
model,24,intro_bug,0.000464253,
model,25,intro_bug,0,
model,26,intro_bug,0,
model,27,intro_bug,0,
model,28,intro_bug,0,
model,29,intro_bug,0,
model,30,intro_bug,0.00185701,
model,31,intro_bug,0,
model,32,intro_bug,0.003249768,
model,33,intro_bug,0.000464253,
model,34,intro_bug,0,
model,35,intro_bug,0,
model,36,intro_bug,0.003249768,
model,37,intro_bug,0,
model,38,intro_bug,0,
model,39,intro_bug,0.007428041,
model,40,intro_bug,0,
model,41,intro_bug,0,
model,42,intro_bug,0,
model,43,intro_bug,0,
model,44,intro_bug,0.014391829,
model,45,intro_bug,0,
model,46,intro_bug,0,
model,47,intro_bug,0,
model,48,intro_bug,0,
model,49,intro_bug,0,
average,,,0.001049211,
std,,,0.002426243,
,,,,
,,,,
,,,,
,,,,0.000984977
,,,,0.002253521
