mse-inside,mse_outside,const satisfaction-train,const satisfaction-test,l_1 norm,l_2 norm,l_inf norm,selected nodes,feasibility,cost,,,,,
0.020197848,0.034890521,1,0.970588235,1.268268966,0.513270223,0.258350213,"[0, 1, 3, 6, 7]","['f', 'f', 'f']",2681.29342,max_weight_bound,1,cost weights,[1. 1.],08:48.0
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[0, 3, 6, 7, 8]","['nf', 'nf', 'f']",2674.048379,max_weight_bound,1,cost weights,[1. 1.],16:25.3
0.39701727,0.711861193,0.662790698,0.676470588,4.530895212,1.808466794,1.131565005,"[0, 1, 3, 5, 7]","['f', 'f', 'f']",2667.104343,max_weight_bound,1,cost weights,[1. 1.],08:31.1
0.404191703,0.72589469,0.686046512,0.705882353,6.443467128,2.157068595,1.157370687,"[0, 2, 4, 5, 7]","['f', 'f', 'f']",2667.033839,max_weight_bound,1,cost weights,[1. 1.],13:15.9
0.018121967,0.037319485,1,1,1.710289759,0.523282827,0.209741672,"[0, 1, 2, 3, 5]","['f', 'f']",2664.658572,max_weight_bound,1,cost weights,[1. 1.],06:43.0
0.971403897,0.891811311,1,0.970588235,5.547020149,1.762396027,1.097960278,"[0, 2, 3, 5, 8]","['f', 'f', 'f']",2662.571868,max_weight_bound,1,cost weights,[1. 1.],12:15.4
0.399613559,0.715636492,0.662790698,0.676470588,6.83419281,2.133283999,1.136437535,"[0, 2, 3, 4, 7]","['f', 'f', 'f']",2653.094455,max_weight_bound,1,cost weights,[1. 1.],11:30.7
1.351196647,1.874666929,0.686046512,0.705882353,6.919915829,2.234859785,1.105730891,"[0, 3, 5, 7, 8]","['nf', 'f', 'f']",2645.97918,max_weight_bound,1,cost weights,[1. 1.],16:18.8
0.020195376,0.034882173,1,0.970588235,1.266580286,0.513249316,0.258350213,"[0, 1, 5, 6, 7]","['f', 'f', 'f']",2625.183936,max_weight_bound,1,cost weights,[1. 1.],10:24.7
0.019905785,0.034437582,1,0.970588235,1.285390745,0.513368122,0.258350213,"[0, 1, 3, 4, 6]","['f', 'f', 'f']",2617.37742,max_weight_bound,1,cost weights,[1. 1.],07:49.7
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[0, 5, 6, 7, 8]","['nf', 'nf', 'f']",2593.623452,max_weight_bound,1,cost weights,[1. 1.],17:02.4
0.985845685,1.21261394,0.953488372,0.852941176,5.520635931,1.746034879,1.021366335,"[0, 3, 4, 6, 8]","['nf', 'f', 'f']",2591.382893,max_weight_bound,1,cost weights,[1. 1.],15:49.6
0.432324648,0.713510156,0.651162791,0.647058824,4.888442111,1.812727089,1.12985149,"[0, 1, 2, 5, 7]","['f', 'f', 'f']",2583.329701,max_weight_bound,1,cost weights,[1. 1.],07:14.3
0.017800879,0.036999043,1,1,1.656757466,0.52241694,0.209741672,"[0, 1, 2, 5, 6]","['f', 'f', 'f']",2568.137018,max_weight_bound,1,cost weights,[1. 1.],07:11.0
0.985002458,1.207183003,0.965116279,0.911764706,5.187760309,1.812094859,1.005604543,"[0, 2, 5, 6, 8]","['f', 'f', 'f']",2567.378215,max_weight_bound,1,cost weights,[1. 1.],14:20.7
0.023474326,0.041606709,1,1,3.520004208,1.211735035,0.569981001,"[0, 2, 4, 6, 7]","['f', 'f', 'f']",2567.006869,max_weight_bound,1,cost weights,[1. 1.],13:40.8
0.432324588,0.713513672,0.651162791,0.647058824,4.88821878,1.812737518,1.12984702,"[0, 1, 2, 3, 7]","['f', 'f', 'f']",2539.621357,max_weight_bound,1,cost weights,[1. 1.],06:48.4
1.36735785,1.892260551,0.686046512,0.705882353,8.288925833,2.546420351,1.156961203,"[0, 2, 3, 7, 8]","['f', 'f', 'f']",2538.139627,max_weight_bound,1,cost weights,[1. 1.],12:44.1
1.367332578,1.892235756,0.686046512,0.705882353,8.289236075,2.546468981,1.157026291,"[0, 2, 5, 7, 8]","['f', 'f', 'f']",2536.85424,max_weight_bound,1,cost weights,[1. 1.],14:30.6
