mse-inside,mse_outside,const satisfaction-train,const satisfaction-test,l_1 norm,l_2 norm,l_inf norm,selected nodes,feasibility,cost,,,,,
0.961304009,0.882667482,1,1,5.41758923,1.823503501,1.155571744,"[0, 2, 4, 5, 8]","['f', 'f', 'f']",2259.729092,max_weight_bound,1,cost weights,[1. 1.],13:31.1
0.020194961,0.034882464,1,0.970588235,1.267759453,0.513256842,0.258350213,"[0, 1, 4, 6, 7]","['f', 'f', 'f']",2249.569055,max_weight_bound,1,cost weights,[1. 1.],09:59.6
0.959380627,1.177913904,1,0.970588235,3.15141704,1.401118965,1.009326436,"[0, 1, 5, 6, 8]","['f', 'f', 'f']",2230.261798,max_weight_bound,1,cost weights,[1. 1.],10:33.7
1.337202907,1.856185079,0.662790698,0.676470588,6.406898224,2.237553255,1.135878995,"[0, 1, 3, 7, 8]","['f', 'f', 'f']",2191.106488,max_weight_bound,1,cost weights,[1. 1.],09:04.4
1.364319921,1.889021516,0.686046512,0.705882353,8.364535849,2.54835786,1.157723665,"[0, 2, 4, 7, 8]","['f', 'f', 'f']",2160.359648,max_weight_bound,1,cost weights,[1. 1.],14:01.0
0.020206673,0.034882437,1,0.970588235,1.286802252,0.513387879,0.258350213,"[0, 1, 6, 7, 8]","['f', 'f']",2122.505495,max_weight_bound,1,cost weights,[1. 1.],10:48.6
0.969975054,0.889815867,1,0.970588235,3.346029873,1.359714559,1.086208865,"[0, 1, 3, 4, 8]","['f', 'f', 'f']",2057.633592,max_weight_bound,1,cost weights,[1. 1.],08:12.0
0.019915869,0.034759551,1,1,2.263574147,0.747136958,0.341457506,"[1, 2, 3, 5, 6]","['f', 'f', 'f']",2025.344308,max_weight_bound,1,cost weights,[1. 1.],18:07.5
0.969938815,0.889769733,1,0.970588235,3.308575361,1.361536533,1.088195726,"[0, 1, 4, 5, 8]","['f', 'f', 'f']",2005.908586,max_weight_bound,1,cost weights,[1. 1.],09:51.7
0.020467622,0.035903793,1,0.941176471,2.164418374,0.743561264,0.341457506,"[1, 2, 3, 4, 6]","['f', 'f', 'f']",1976.742185,max_weight_bound,1,cost weights,[1. 1.],17:32.5
0.02145806,0.03839951,1,1,2.238959967,0.746720282,0.341457506,"[1, 2, 3, 6, 7]","['f', 'f', 'f']",1949.226186,max_weight_bound,1,cost weights,[1. 1.],18:38.0
