
Gurobi 9.5.0 (win64) logging started Tue Jun 28 16:26:13 2022

Set parameter LogFile to value "C:\Users\kmajd1\Documents\NNRepLayer_v2\demos\walking_example\dynamic_constraint\repair_net/logs/opt_log_6_28_2022_16_18_43.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (win64)
Thread count: 8 physical cores, 16 logical processors, using up to 16 threads
Optimize a model with 213067 rows, 136399 columns and 1380619 nonzeros
Model fingerprint: 0x1a11d248
Model has 270 quadratic objective terms
Variable types: 57007 continuous, 79392 integer (79392 binary)
Coefficient statistics:
  Matrix range     [2e-04, 5e+01]
  Objective range  [5e-04, 2e+00]
  QObjective range [7e-02, 7e-02]
  Bounds range     [1e+00, 5e+01]
  RHS range        [3e-05, 5e+01]
Presolve removed 130140 rows and 51840 columns (presolve time = 5s) ...
Presolve removed 130140 rows and 51840 columns (presolve time = 10s) ...
Presolve removed 130140 rows and 51840 columns
Presolve time: 11.67s
Presolved: 82927 rows, 84559 columns, 1172719 nonzeros
Presolved model has 270 quadratic objective terms
Variable types: 57007 continuous, 27552 integer (27552 binary)
Root relaxation presolve removed 29184 rows and 27552 columns (presolve time = 5s) ...
Root relaxation presolve removed 29184 rows and 27552 columns
Root relaxation presolved: 53743 rows, 57007 columns, 1114351 nonzeros
Root relaxation presolved model has 270 quadratic objective terms


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  252161   -2.5677163e+01   9.456825e+03   0.000000e+00    405s
  254525   -2.5623767e+01   7.010333e+03   0.000000e+00    410s
  256975   -2.5576937e+01   2.873139e+04   0.000000e+00    416s
  259084   -2.5509437e+01   1.011930e+04   0.000000e+00    420s
  261505   -2.5449317e+01   8.150895e+03   0.000000e+00    425s
  263901   -2.5408620e+01   1.016507e+04   0.000000e+00    430s
  266062   -2.5368791e+01   9.409782e+03   0.000000e+00    435s
  268171   -2.5334950e+01   7.032788e+03   0.000000e+00    440s
  270593   -2.5298828e+01   1.346879e+04   0.000000e+00    446s
  272694   -2.5255500e+01   6.778209e+03   0.000000e+00    450s
  275095   -2.5215459e+01   7.181861e+03   0.000000e+00    455s
  277473   -2.5135285e+01   7.091785e+03   0.000000e+00    460s
  279867   -2.5063725e+01   7.575851e+03   0.000000e+00    465s
  281978   -2.4993088e+01   7.116874e+03   0.000000e+00    470s
  284427   -1.3510041e+02   8.548764e+03   0.000000e+00    475s
  286632   -1.3496468e+02   1.063460e+04   0.000000e+00    480s
  289154   -1.3481426e+02   7.531113e+03   0.000000e+00    486s
  291320   -1.3470124e+02   9.470649e+03   0.000000e+00    490s
  293738   -1.3456061e+02   1.476535e+04   0.000000e+00    495s
  295916   -1.3444803e+02   6.894137e+03   0.000000e+00    500s
  298295   -1.3431365e+02   1.200131e+04   0.000000e+00    506s
  300383   -1.3422527e+02   7.400901e+03   0.000000e+00    510s
  302521   -1.3412785e+02   7.616952e+03   0.000000e+00    515s
  305007   -1.3404658e+02   6.563135e+03   0.000000e+00    521s
  307202   -1.3396365e+02   9.815844e+03   0.000000e+00    525s
  309412   -1.3387218e+02   1.006624e+04   0.000000e+00    530s
  311585   -1.3379046e+02   7.156705e+03   0.000000e+00    535s
  313409   -1.3372064e+02   1.021723e+04   0.000000e+00    540s
  315529   -1.3364269e+02   7.908217e+03   0.000000e+00    545s
  317631   -1.3356699e+02   8.114258e+03   0.000000e+00    550s
  319753   -1.3348096e+02   7.225317e+03   0.000000e+00    555s
  321850   -1.3340219e+02   6.898348e+03   0.000000e+00    560s
  323972   -1.3330498e+02   7.146574e+03   0.000000e+00    565s
  326118   -1.3320587e+02   7.755885e+03   0.000000e+00    570s
  328302   -1.3307728e+02   6.646820e+03   0.000000e+00    575s
  330493   -1.3296714e+02   7.385760e+03   0.000000e+00    581s
  332670   -1.3287302e+02   7.713712e+03   0.000000e+00    585s
  335140   -1.3277138e+02   6.856585e+03   0.000000e+00    591s
  337364   -1.3268829e+02   7.054983e+03   0.000000e+00    595s
  339554   -1.3259441e+02   9.634380e+03   0.000000e+00    600s
  342010   -1.3250381e+02   9.119273e+03   0.000000e+00    605s
  344156   -1.3242961e+02   7.544091e+03   0.000000e+00    610s
  346573   -1.3234395e+02   7.062145e+03   0.000000e+00    615s
  349064   -1.3213431e+02   6.733333e+03   0.000000e+00    621s
  351180   -1.3205418e+02   9.684116e+03   0.000000e+00    625s
  353315   -1.3199409e+02   1.024660e+04   0.000000e+00    630s
  355746   -1.3186891e+02   8.238916e+03   0.000000e+00    635s
  358176   -1.3176699e+02   8.629179e+03   0.000000e+00    641s
  360321   -1.3168096e+02   2.313592e+04   0.000000e+00    645s
  362829   -1.3156728e+02   6.256524e+03   0.000000e+00    651s
  364972   -1.3149790e+02   7.372404e+03   0.000000e+00    655s
  367170   -1.3141502e+02   1.017383e+04   0.000000e+00    660s
  369587   -1.3134948e+02   7.037094e+03   0.000000e+00    666s
  371713   -1.3128909e+02   6.043127e+03   0.000000e+00    670s
  374169   -1.3114987e+02   1.108957e+04   0.000000e+00    676s
  376391   -1.3104399e+02   6.327731e+03   0.000000e+00    680s
  378495   -1.3099197e+02   8.681148e+03   0.000000e+00    685s
  380644   -1.3091893e+02   8.517798e+03   0.000000e+00    690s
  382805   -1.3085709e+02   8.951423e+03   0.000000e+00    695s
  385249   -1.3078918e+02   8.085350e+03   0.000000e+00    701s
  387350   -1.3060060e+02   1.567793e+04   0.000000e+00    705s
  389570   -1.3053380e+02   7.694484e+03   0.000000e+00    710s
  391740   -1.3048609e+02   7.206726e+03   0.000000e+00    715s
  394251   -1.3040357e+02   2.437183e+04   0.000000e+00    720s
  396374   -1.3033893e+02   6.918499e+03   0.000000e+00    725s
  398746   -1.3027854e+02   7.313357e+03   0.000000e+00    730s
  400860   -1.3014380e+02   9.328981e+03   0.000000e+00    735s
  403311   -1.3007818e+02   6.425719e+03   0.000000e+00    740s
  405486   -1.2988177e+02   6.472330e+03   0.000000e+00    745s
  407927   -1.2962684e+02   1.602604e+04   0.000000e+00    751s
  410160   -1.2955892e+02   6.029326e+03   0.000000e+00    756s
  412399   -1.2949167e+02   6.323531e+03   0.000000e+00    761s
  414530   -1.2942652e+02   1.584170e+04   0.000000e+00    765s
  416636   -1.2937998e+02   6.845191e+03   0.000000e+00    770s
  419041   -1.2930368e+02   1.841527e+04   0.000000e+00    776s
  421178   -1.2922841e+02   7.313236e+03   0.000000e+00    781s
  423366   -1.2916533e+02   7.874276e+03   0.000000e+00    785s
  425535   -1.2909304e+02   6.618368e+03   0.000000e+00    790s
  427662   -1.2901445e+02   6.842000e+03   0.000000e+00    795s
  429831   -1.2896408e+02   6.297762e+03   0.000000e+00    801s
  431703   -1.2890115e+02   7.549744e+03   0.000000e+00    805s
  433954   -1.2875979e+02   6.120005e+03   0.000000e+00    810s
  436205   -1.2870274e+02   8.815028e+03   0.000000e+00    815s
  438444   -1.2864522e+02   6.007504e+03   0.000000e+00    820s
  440630   -1.2859624e+02   7.608364e+03   0.000000e+00    825s
  442804   -1.2851847e+02   6.319362e+03   0.000000e+00    830s
  444995   -1.2845251e+02   6.606209e+03   0.000000e+00    835s
  447222   -1.2836908e+02   7.325407e+03   0.000000e+00    840s
